voltagens	amperagens	campo	razaoE/M
105.0	2.5	0.001730914350670703	175229873010.02185
120.0	2.76	0.0019109294431404556	164309224699.58847
140.0	3.06	0.00211863916522094	155949521738.45343
160.0	3.26	0.002257112313274596	157030367479.84314
180.0	3.33	0.002305577915093376	169310114177.9056
200.0	3.6	0.002492516664965812	160962184937.1894
240.0	3.96	0.002741768331462393	159631918945.973
246.0	4.0	0.0027694629610731246	160366624852.92178
260.0	4.08	0.002824852220294587	162911553958.92007
140.0	1.96	0.001357036850925831	168939902557.9831
150.0	2.05	0.0014193497675499761	165462614855.12396
170.0	2.14	0.0014816626841741218	172082901880.61823
190.0	2.28	0.0015785938878116806	169433878881.2521
200.0	2.34	0.0016201358322277776	169322482511.17892
220.0	2.46	0.0017032197210599712	168526737352.4411
240.0	2.58	0.0017863036098921654	167142993552.94952
260.0	2.69	0.0018624638413216764	166565531268.17957
280.0	2.81	0.00194554773015387	164384830401.52676
300.0	2.9	0.002007860646778015	165364242313.593
320.0	3.0	0.002077097220804843	164825277375.682
340.0	3.9	0.002700226387046296	103625359296.84149
350.0	3.13	0.00216710476703972	165613492448.31213
150.0	1.5	0.0010385486104024216	173839159732.1646
170.0	1.63	0.001128556156637298	166844765447.3333
190.0	1.68	0.0011631744436507122	175539117501.65427
200.0	1.74	0.0012047163880668091	172254419076.6593
220.0	1.83	0.0012670293046909544	171300793429.52704
240.0	1.91	0.0013224185639124169	171547099870.01248
260.0	2.0	0.0013847314805365623	169493180738.86044
280.0	2.07	0.0014331970823553417	170394751540.314
300.0	2.13	0.0014747390267714387	172425272497.6836
320.0	2.21	0.0015301282859929012	170845798962.83655
340.0	2.29	0.001585517545214364	169062320442.79077
351.0	2.31	0.0015993648600197295	171522868010.31583
120.0	1.0	0.0006923657402682812	200262712011.45355
140.0	1.13	0.0007823732865031576	182974258501.0801
160.0	1.24	0.0008585335179326685	173658265705.38812
180.0	1.31	0.0009069991197514484	175044617456.54697
200.0	1.38	0.0009554647215702278	175263173012.89438
219.0	1.45	0.0010039303233890075	173830891520.0489
240.0	1.53	0.00105931958261047	171098903850.18887
260.0	1.59	0.001100861527026567	171631874803.7984
280.0	1.66	0.0011493271288453466	169574561387.74072
300.0	1.71	0.0011839454158587605	171217393395.79156
320.0	1.78	0.0012324110176775405	168550024838.15472
341.0	1.82	0.0012601056472882717	171802884101.92422
351.0	1.85	0.0012808766194963201	171152208220.16116
