voltagens	amperagens	campo	razao e/m
140.0	1.96	0.001357036850925831	168939902557.9831
150.0	2.05	0.0014193497675499761	165462614855.12396
170.0	2.14	0.0014816626841741218	172082901880.61823
190.0	2.28	0.0015785938878116806	169433878881.2521
200.0	2.34	0.0016201358322277776	169322482511.17892
220.0	2.46	0.0017032197210599712	168526737352.4411
240.0	2.58	0.0017863036098921654	167142993552.94952
260.0	2.69	0.0018624638413216764	166565531268.17957
280.0	2.81	0.00194554773015387	164384830401.52676
300.0	2.9	0.002007860646778015	165364242313.593
320.0	3.0	0.002077097220804843	164825277375.682
340.0	3.9	0.002700226387046296	103625359296.84149
350.0	3.13	0.00216710476703972	165613492448.31213
