voltagens	amperagens	campo	razaoE/M
150.0	1.5	0.0010385486104024216	173839159732.1646
170.0	1.63	0.001128556156637298	166844765447.3333
190.0	1.68	0.0011631744436507122	175539117501.65427
200.0	1.74	0.0012047163880668091	172254419076.6593
220.0	1.83	0.0012670293046909544	171300793429.52704
240.0	1.91	0.0013224185639124169	171547099870.01248
260.0	2.0	0.0013847314805365623	169493180738.86044
280.0	2.07	0.0014331970823553417	170394751540.314
300.0	2.13	0.0014747390267714387	172425272497.6836
320.0	2.21	0.0015301282859929012	170845798962.83655
340.0	2.29	0.001585517545214364	169062320442.79077
351.0	2.31	0.0015993648600197295	171522868010.31583
